n	czas	liczbaPorównań
1000	14798	1000000
1000	14898	1000000
1000	15551	1000000
1000	14258	1000000
1000	14141	1000000
1000	15148	1000000
1000	13878	1000000
1000	14428	1000000
1000	14127	1000000
1000	14045	1000000
1000	15080	1000000
1000	15209	1000000
1000	14422	1000000
1000	14079	1000000
1000	14893	1000000
1000	15210	1000000
1000	14364	1000000
1000	15030	1000000
1000	13585	1000000
1000	13680	1000000
1000	13947	1000000
1000	14022	1000000
1000	14889	1000000
1000	13566	1000000
1000	14694	1000000
1000	13950	1000000
1000	14319	1000000
1000	14605	1000000
1000	14813	1000000
1000	13933	1000000
1000	13969	1000000
1000	14146	1000000
1000	14728	1000000
1000	14833	1000000
1000	14394	1000000
1000	13939	1000000
1000	13991	1000000
1000	15058	1000000
1000	14241	1000000
1000	14365	1000000
1000	13903	1000000
1000	14336	1000000
1000	14131	1000000
1000	14122	1000000
1000	13892	1000000
1000	14298	1000000
1000	14162	1000000
1000	14352	1000000
1000	14154	1000000
1000	14000	1000000
1000	14397	1000000
1000	15109	1000000
1000	14500	1000000
1000	14958	1000000
1000	14250	1000000
1000	14728	1000000
1000	14411	1000000
1000	14977	1000000
1000	13972	1000000
1000	14645	1000000
1000	13868	1000000
1000	14570	1000000
1000	14773	1000000
1000	13741	1000000
1000	13905	1000000
1000	14114	1000000
1000	14078	1000000
1000	14199	1000000
1000	14903	1000000
1000	13701	1000000
1000	14450	1000000
1000	16577	1000000
1000	15581	1000000
1000	13899	1000000
1000	14171	1000000
1000	13912	1000000
1000	15023	1000000
1000	13761	1000000
1000	14279	1000000
1000	14764	1000000
1000	13959	1000000
1000	14568	1000000
1000	14107	1000000
1000	15424	1000000
1000	13949	1000000
1000	14983	1000000
1000	14727	1000000
1000	14086	1000000
1000	14358	1000000
1000	13962	1000000
1000	14156	1000000
1000	14449	1000000
1000	14385	1000000
1000	14089	1000000
1000	14415	1000000
1000	13687	1000000
1000	14794	1000000
1000	13688	1000000
1000	13929	1000000
1000	13695	1000000
1000	13939	1000000
1000	13681	1000000
1000	13980	1000000
1000	14441	1000000
1000	13857	1000000
1000	14934	1000000
1000	13708	1000000
1000	14539	1000000
1000	13881	1000000
1000	13969	1000000
1000	13684	1000000
1000	14384	1000000
1000	13876	1000000
1000	13921	1000000
1000	13909	1000000
1000	14332	1000000
1000	13736	1000000
1000	14449	1000000
1000	13654	1000000
1000	13920	1000000
1000	14167	1000000
1000	13674	1000000
1000	14071	1000000
1000	14370	1000000
1000	14241	1000000
1000	14350	1000000
1000	14106	1000000
1000	14420	1000000
1000	14059	1000000
1000	14469	1000000
1000	13878	1000000
1000	13901	1000000
1000	14050	1000000
1000	13957	1000000
1000	16351	1000000
1000	14906	1000000
1000	13945	1000000
1000	15482	1000000
1000	13713	1000000
1000	14958	1000000
1000	14017	1000000
1000	13726	1000000
1000	15003	1000000
1000	14561	1000000
1000	14433	1000000
1000	14661	1000000
1000	13840	1000000
1000	15415	1000000
1000	15179	1000000
1000	14057	1000000
1000	13918	1000000
1000	14029	1000000
1000	14226	1000000
1000	14573	1000000
1000	14066	1000000
1000	15255	1000000
1000	14778	1000000
1000	14476	1000000
1000	14720	1000000
1000	14106	1000000
1000	14479	1000000
1000	14458	1000000
1000	13914	1000000
1000	14672	1000000
1000	14772	1000000
1000	15664	1000000
1000	14041	1000000
1000	14275	1000000
1000	14107	1000000
1000	14328	1000000
1000	15023	1000000
1000	13966	1000000
1000	15171	1000000
1000	13767	1000000
1000	14479	1000000
1000	14993	1000000
1000	13912	1000000
1000	14015	1000000
1000	13860	1000000
1000	14148	1000000
1000	13926	1000000
1000	13976	1000000
1000	13602	1000000
1000	14068	1000000
1000	15250	1000000
1000	14798	1000000
1000	14794	1000000
1000	13979	1000000
1000	13934	1000000
1000	14412	1000000
1000	15433	1000000
1000	13968	1000000
1000	14003	1000000
1000	14232	1000000
1000	13667	1000000
1000	14571	1000000
1000	13964	1000000
1000	14217	1000000
1000	14165	1000000
1000	13728	1000000
1000	14734	1000000
1000	13864	1000000
1000	14012	1000000
1000	14005	1000000
1000	13896	1000000
1000	14222	1000000
1000	14699	1000000
1000	13772	1000000
1000	16330	1000000
1000	15154	1000000
1000	14493	1000000
1000	14136	1000000
