n;Bn;Un;Ln;Cn;Dn;Dn-Cn
6000;159;2201;7;59934;73483;13549
6000;160;2229;6;61738;65893;4155
6000;96;2218;6;59343;76791;17448
6000;43;2192;8;54248;68910;14662
6000;64;2235;6;54419;77583;23164
6000;89;2198;6;57228;74835;17607
6000;123;2209;6;42640;82991;40351
6000;126;2192;6;54052;63941;9889
6000;165;2179;7;55876;66071;10195
6000;102;2163;7;68188;72596;4408
6000;107;2189;6;69112;82472;13360
6000;114;2215;6;55327;71649;16322
6000;118;2170;6;50461;63722;13261
6000;43;2211;7;61833;62906;1073
6000;187;2228;7;46083;82563;36480
6000;35;2179;6;60337;71861;11524
6000;203;2209;7;63664;73573;9909
6000;60;2228;6;56263;69504;13241
6000;88;2251;6;55555;63490;7935
6000;71;2229;7;67285;67809;524
6000;93;2195;6;67216;69826;2610
6000;156;2187;6;53795;67597;13802
6000;113;2187;8;49194;61718;12524
6000;147;2174;6;47620;95539;47919
6000;36;2223;7;57523;80316;22793
6000;59;2231;6;56030;58730;2700
6000;232;2183;8;54119;55908;1789
6000;79;2182;6;54394;84688;30294
6000;165;2193;7;47358;72076;24718
6000;112;2229;7;59129;76438;17309
7000;66;2570;6;61787;73666;11879
7000;90;2556;8;67573;99799;32226
7000;15;2576;6;70256;94925;24669
7000;84;2631;7;61043;70888;9845
7000;128;2591;6;67503;74144;6641
7000;91;2600;7;56681;94711;38030
7000;29;2600;7;62773;85618;22845
7000;79;2588;6;62510;80570;18060
7000;155;2588;7;53535;72231;18696
7000;82;2565;6;61491;89892;28401
7000;40;2578;6;66603;83872;17269
7000;115;2576;7;62747;85647;22900
7000;148;2581;7;72830;76984;4154
7000;23;2575;6;67319;78808;11489
7000;24;2600;6;57366;76473;19107
7000;113;2526;8;59737;94367;34630
7000;47;2604;7;57167;90019;32852
7000;76;2552;6;72228;81579;9351
7000;220;2595;7;62512;75916;13404
7000;51;2537;6;67607;80090;12483
7000;54;2624;6;64417;81441;17024
7000;157;2578;7;63718;75487;11769
7000;105;2546;7;56926;74550;17624
7000;186;2533;8;70433;99518;29085
7000;121;2540;6;56875;92658;35783
7000;143;2599;7;63111;71784;8673
7000;89;2529;6;62489;79566;17077
7000;175;2553;7;64993;89524;24531
7000;98;2578;5;94830;99690;4860
7000;146;2605;7;79177;93262;14085
7000;81;2563;7;72607;83108;10501
7000;82;2541;6;61067;73357;12290
7000;106;2569;6;57474;88017;30543
7000;42;2574;7;62915;86175;23260
7000;79;2549;6;61671;90394;28723
7000;56;2617;7;90393;95446;5053
7000;60;2589;6;63601;75087;11486
7000;165;2574;6;56951;80562;23611
7000;68;2578;6;65657;83539;17882
7000;81;2567;6;69590;71684;2094
7000;107;2533;6;60233;78356;18123
7000;33;2551;6;79839;90644;10805
7000;150;2653;7;61101;95038;33937
7000;68;2618;6;67969;93773;25804
7000;29;2582;7;64165;82785;18620
7000;69;2629;7;87503;92540;5037
7000;120;2601;6;58885;84442;25557
7000;143;2589;6;68898;76872;7974
7000;5;2603;7;64204;86835;22631
7000;85;2554;7;62413;75986;13573
8000;57;2921;7;79674;96945;17271
8000;67;2911;7;85896;95842;9946
8000;126;2917;7;60129;91764;31635
8000;112;2990;7;84185;93239;9054
8000;188;2949;6;69179;97277;28098
8000;153;2948;7;72736;94482;21746
8000;121;2930;6;92603;113369;20766
8000;183;2908;6;69884;102697;32813
8000;72;2939;6;74919;84906;9987
8000;87;2914;6;74682;95404;20722
8000;143;2977;6;66774;94792;28018
8000;77;2906;6;76064;104254;28190
8000;15;2956;6;66265;96334;30069
8000;147;2946;7;83438;113197;29759
8000;108;2963;6;86647;92323;5676
8000;104;2973;6;72702;83736;11034
8000;43;2981;7;82867;91123;8256
8000;165;2978;6;70340;85185;14845
8000;222;2988;7;91148;92231;1083
8000;30;2942;6;86061;90326;4265
8000;73;3015;8;81309;91908;10599
8000;87;2928;6;61408;93112;31704
8000;167;2976;6;85579;96479;10900
8000;95;2943;6;64400;94917;30517
8000;183;2901;6;78621;90384;11763
8000;77;2901;6;85232;95806;10574
8000;132;2954;6;74499;95515;21016
8000;128;2961;7;103626;108220;4594
8000;83;2942;7;66077;99840;33763
8000;90;2959;6;63094;82489;19395
8000;107;2936;6;65414;88094;22680
8000;175;2946;7;106524;110383;3859
8000;76;2937;6;76314;94759;18445
8000;198;2971;6;70652;87996;17344
8000;154;2915;6;68999;86652;17653
8000;137;2968;7;70627;80780;10153
8000;145;2908;7;64762;115360;50598
8000;208;2934;6;71344;102489;31145
8000;96;2941;6;66710;91943;25233
8000;155;2906;7;79939;97990;18051
8000;216;2947;7;78879;94130;15251
8000;209;3024;6;82893;99156;16263
8000;198;2946;7;76938;95287;18349
8000;84;2971;7;85333;95372;10039
8000;112;2926;6;81307;111498;30191
8000;41;2967;6;83390;89250;5860
8000;136;2956;6;78401;97535;19134
8000;297;2941;7;61978;92172;30194
8000;121;2931;6;77802;99057;21255
8000;189;2971;8;89125;105884;16759
9000;77;3341;7;75776;102136;26360
9000;113;3329;7;77213;99953;22740
9000;47;3288;7;81249;104811;23562
9000;86;3278;7;77790;131073;53283
9000;80;3316;6;80522;104959;24437
9000;27;3321;6;85253;130762;45509
9000;129;3310;6;94885;99115;4230
9000;57;3359;8;83401;101405;18004
9000;100;3316;7;67599;98082;30483
9000;128;3314;6;107700;121619;13919
9000;142;3325;7;90238;116279;26041
9000;38;3349;6;92544;95499;2955
9000;93;3293;6;85129;116235;31106
9000;92;3310;6;86372;110882;24510
9000;71;3359;7;86918;105965;19047
9000;230;3326;6;81235;121891;40656
9000;48;3338;6;87056;113182;26126
9000;51;3319;6;84719;91854;7135
9000;163;3277;7;96573;114649;18076
9000;58;3274;7;88319;109252;20933
9000;261;3255;7;89745;117794;28049
9000;109;3310;7;79800;106676;26876
9000;98;3313;8;79582;102502;22920
9000;114;3330;7;105736;106185;449
9000;101;3291;6;102501;117639;15138
9000;21;3278;7;125038;128128;3090
9000;69;3307;7;91265;127662;36397
9000;160;3301;6;82261;106375;24114
9000;221;3258;7;86105;142054;55949
9000;178;3287;6;83165;113233;30068
9000;117;3332;6;83637;110288;26651
9000;33;3333;6;93771;103932;10161
9000;60;3315;8;77843;97765;19922
9000;67;3338;6;85771;100444;14673
9000;178;3294;6;87683;116326;28643
9000;106;3300;7;86696;102576;15880
9000;121;3308;7;84493;95820;11327
9000;84;3294;7;82933;95924;12991
9000;254;3355;6;81402;98462;17060
9000;195;3286;7;109882;120780;10898
9000;58;3314;6;119393;127198;7805
9000;144;3265;7;93120;109390;16270
9000;149;3276;7;81233;97054;15821
9000;78;3288;6;67964;106012;38048
9000;28;3348;9;79388;95190;15802
9000;235;3358;7;85309;97741;12432
9000;84;3314;7;93213;114955;21742
9000;245;3309;6;76496;105342;28846
9000;137;3358;6;87702;127483;39781
9000;24;3263;7;83477;95988;12511
10000;192;3673;7;95733;116906;21173
10000;136;3727;7;109541;129774;20233
10000;138;3648;6;101630;138345;36715
10000;95;3629;6;90426;105906;15480
10000;30;3684;7;102339;119716;17377
10000;154;3692;7;98041;133661;35620
10000;117;3652;6;93385;127558;34173
10000;14;3710;7;95047;111532;16485
10000;67;3692;6;87575;142248;54673
10000;135;3665;6;112053;113476;1423
10000;21;3653;7;117162;129766;12604
10000;117;3698;7;101430;122275;20845
10000;74;3639;7;97997;120551;22554
10000;183;3700;6;84321;113228;28907
10000;98;3720;6;86956;126880;39924
10000;173;3671;6;107889;111190;3301
10000;133;3708;6;107560;147380;39820
10000;18;3708;7;107016;160976;53960
10000;191;3677;7;94496;111717;17221
10000;108;3683;7;95832;124727;28895
10000;156;3672;8;107301;148262;40961
10000;180;3694;7;92543;112911;20368
10000;266;3687;7;113901;134551;20650
10000;143;3659;9;105669;106146;477
10000;272;3679;6;107257;110225;2968
10000;225;3697;6;110645;123994;13349
